Item,Value
Graph Construction Method,flatten
Distance Metric,manhattan
Connectivity,knn
K Neighbors,3
Percentile,10.0
Clustering Algorithm,louvain
Model Name,TimeVAE_model14
Modularity,0.42986812163349
Silhouette Score,-0.0790819451212883
Davies Bouldin Index,2.7951097404604894
Num Communities,7
