Item,Value
Graph Construction Method,flatten
Distance Metric,dtw
Connectivity,knn
K Neighbors,3
Percentile,10.0
Clustering Algorithm,louvain
Model Name,TimeVAE_model22
Modularity,0.38251188414514237
Silhouette Score,-0.09382421523332596
Davies Bouldin Index,2.01238368001653
Num Communities,9
