,Value
Method,BiMCL
Distance Metric,euclidean
Number of Clusters,5
Coverage,1.0
Entropy,1220.4329956054687
Silhouette,0.007842355477461954
Modularity,0.050902777777777776
model_name,TimeVAE_model9
