,Value
Method,Bipartite Spectral Graph Partitioning
Model Name,TimeVAE_model9
Number of Clusters,5
Coverage,0.20083333333333334
Entropy Samples,1.58891540023728
Entropy Features,1.5876976328417083
Silhouette Samples,-0.03507245
Silhouette Features,-0.023665296
Modularity,-0.0017055555962054228
