,Value
Method,BiMCL
Distance Metric,euclidean
Number of Clusters,3
Coverage,1.0
Entropy,1577.5233968098958
Silhouette,0.00021021369935220316
Modularity,0.08260416666666667
model_name,TimeVAE_model8
