Item,Value
Graph Construction Method,aggregate
Distance Metric,euclidean
Connectivity,knn
K Neighbors,5
Percentile,10.0
Clustering Algorithm,louvain
Modularity,0.6033320228300241
Silhouette Score,0.07849278864334906
Davies Bouldin Index,1.3211502782931355
Num Communities,7
