,Value
Method,SpectralBiclustering
Distance Metric,euclidean
Number of Clusters,8
Coverage,0.0001234567901234568
Entropy Samples,2.763604980013291
Entropy Features,2.851533949780577
Silhouette Samples,0.002299184287657245
Silhouette Features,0.05947091558603917
Model Name,TimeVAE_model9
