,Value
Method,SpectralBiclustering
Model_name,TimeVAE_model9
Distance Metric,cosine
Number of Clusters,10
Coverage,1.0
Entropy Samples,2.004314687109218
Entropy Features,1.9611719403070333
Silhouette Samples,0.033931677326230175
Silhouette Features,0.1236764491108867
Modularity,0.02763888888888889
