,Value
Method,SpectralBiclustering
Model_name,TimeVAE_model9
Distance Metric,manhattan
Number of Clusters,5
Coverage,1.0
Entropy Samples,1.283862320095601
Entropy Features,1.295373724935985
Silhouette Samples,0.057029610975094513
Silhouette Features,0.08790092828544327
Modularity,0.042222222222222223
