,Value
Method,SpectralBiclustering
Distance Metric,euclidean
Number of Clusters,9
Coverage,0.01875
Entropy Samples,2.898922865371407
Entropy Features,2.9549868557726664
Silhouette Samples,0.08187394941974836
Silhouette Features,0.1315583328797925
Model Name,TimeVAE_model9
