Item,Value
Graph Construction Method,aggregate
Distance Metric,cosine
Connectivity,knn
K Neighbors,7
Percentile,10.0
Clustering Algorithm,louvain
Modularity,0.5129921072010348
Silhouette Score,0.05000758993023
Davies Bouldin Index,1.136713111801103
Num Communities,8
