Item,Value
Graph Construction Method,flatten
Distance Metric,euclidean
Connectivity,epsilon
K Neighbors,3
Percentile,100
Clustering Algorithm,louvain
Model Name,TimeVAE_model48
Modularity,0.05555608899089293
Silhouette Score,0.10526338964700699
Davies Bouldin Index,1.9772267206477734
Num Communities,2
