,Value
Method,Bipartite Spectral Graph Partitioning
Model Name,TimeVAE_model9
Number of Clusters,4
Coverage,0.24980131172839506
Entropy Samples,1.3856769043007782
Entropy Features,1.3848693143360438
Silhouette Samples,-0.024724425605246687
Silhouette Features,-0.006399354617069777
Modularity,7.54805062384567e-05
