,Value
Method,Bipartite Spectral Graph Partitioning
Model Name,TimeVAE_model9
Number of Clusters,8
Coverage,0.12498456790123456
Entropy Samples,2.069607633527081
Entropy Features,2.0778142986763157
Silhouette Samples,-0.04056233658259768
Silhouette Features,-0.01774627746482465
Modularity,-0.0010388848777071712
