Item,Value
Graph Construction Method,flatten
Distance Metric,cosine
Connectivity,epsilon
K Neighbors,3
Percentile,100
Clustering Algorithm,louvain
Model Name,TimeVAE_model57
Modularity,0.08535066381579257
Silhouette Score,-0.0032758633606135845
Davies Bouldin Index,1.9732580597236666
Num Communities,2
