,Value
Method,Bipartite Spectral Graph Partitioning
Model Name,TimeVAE_model9
Number of Clusters,9
Coverage,0.11231481481481481
Entropy Samples,2.1720713657529096
Entropy Features,2.1661261851567986
Silhouette Samples,-0.07907581
Silhouette Features,-0.060635943
Modularity,-0.0004363693040886829
