,Value
Method,Bipartite Spectral Graph Partitioning
Model Name,TimeVAE_model9
Number of Clusters,4
Coverage,0.24814814814814815
Entropy Samples,1.382089623515516
Entropy Features,1.3528092531176599
Silhouette Samples,-0.026819278
Silhouette Features,-0.040627856
Modularity,-0.013283781253377404
