Item,Value
Graph Construction Method,flatten
Distance Metric,dtw
Connectivity,knn
K Neighbors,3
Percentile,10.0
Clustering Algorithm,louvain
Model Name,TimeVAE_model52
Modularity,0.47543860276844546
Silhouette Score,-0.10912589728832245
Davies Bouldin Index,2.5445461257961255
Num Communities,7
