,Value
Method,Bipartite Spectral Graph Partitioning
Model Name,TimeVAE_model9
Number of Clusters,3
Coverage,0.33611111111111114
Entropy Samples,1.0975129255657456
Entropy Features,1.0542255224632429
Silhouette Samples,-0.016570386
Silhouette Features,-0.0072818827
Modularity,-0.007606860019157322
