,Value
Method,SpectralBiclustering
Distance Metric,manhattan
Number of Clusters,6
Coverage,6.944444444444444e-05
Entropy Samples,2.3932935516435427
Entropy Features,2.421103353289777
Silhouette Samples,0.021919531654872593
Silhouette Features,0.0777784841755683
Model Name,TimeVAE_model9
