Item,Value
Graph Construction Method,flatten
Distance Metric,manhattan
Connectivity,epsilon
K Neighbors,3
Percentile,100
Clustering Algorithm,louvain
Modularity,0.04021507670597449
Silhouette Score,0.10170213352928006
Davies Bouldin Index,1.9774407820528888
Num Communities,2
