Item,Value
Graph Construction Method,aggregate
Distance Metric,euclidean
Connectivity,knn
K Neighbors,7
Percentile,10.0
Clustering Algorithm,louvain
Modularity,0.565095485818613
Silhouette Score,0.0983632317494947
Davies Bouldin Index,1.4632352941176474
Num Communities,6
