,Value
Method,SpectralBiclustering
Model_name,TimeVAE_model9
Distance Metric,manhattan
Number of Clusters,7
Coverage,1.0
Entropy Samples,1.678823776345965
Entropy Features,1.6461216845796791
Silhouette Samples,0.02003942903132775
Silhouette Features,0.11524974588123002
Modularity,0.028310185185185185
