Item,Value
Graph Construction Method,flatten
Distance Metric,euclidean
Connectivity,knn
K Neighbors,5
Percentile,10.0
Clustering Algorithm,louvain
Model Name,TimeVAE_model43
Modularity,0.3325933320352974
Silhouette Score,-0.05195702612400055
Davies Bouldin Index,2.669477272727273
Num Communities,5
