Item,Value
Graph Construction Method,flatten
Distance Metric,euclidean
Connectivity,knn
K Neighbors,7
Percentile,10.0
Clustering Algorithm,louvain
Modularity,0.4494763971899637
Silhouette Score,0.029862727639011696
Davies Bouldin Index,2.4296279264214045
Num Communities,4
