,Value
Method,BiMCL
Distance Metric,cosine
Number of Clusters,5
Coverage,1.0
Entropy,936.1164916992187
Silhouette,-2.110040271266674e-05
Modularity,0.04907986111111111
model_name,TimeVAE_model8
