,Value
Method,SpectralBiclustering
Model_name,TimeVAE_model9
Distance Metric,euclidean
Number of Clusters,3
Coverage,1.0
Entropy Samples,1.0952456150739192
Entropy Features,0.2824190364358892
Silhouette Samples,0.02176670955870779
Silhouette Features,0.28751546467343964
Modularity,0.07856481481481481
