,Value
Method,Bipartite Spectral Graph Partitioning
Model Name,TimeVAE_model9
Number of Clusters,6
Coverage,0.1635185185185185
Entropy Samples,1.7769769012360412
Entropy Features,1.768995979209179
Silhouette Samples,-0.043420594
Silhouette Features,-0.033851724
Modularity,-0.008044856921767388
