,Value
Method,SpectralBiclustering
Model_name,TimeVAE_model9
Distance Metric,cosine
Number of Clusters,9
Coverage,1.0
Entropy Samples,1.9690251986978986
Entropy Features,1.8858415112629316
Silhouette Samples,0.06699045501892316
Silhouette Features,0.10745713014621287
Modularity,0.030208333333333334
