,Value
Method,Bipartite Spectral Graph Partitioning
Model Name,TimeVAE_model9
Number of Clusters,7
Coverage,0.14250385802469137
Entropy Samples,1.936818387142064
Entropy Features,1.944760744037798
Silhouette Samples,-0.055233491082435006
Silhouette Features,-0.012664224259499143
Modularity,-0.0006717965442601097
