Item,Value
Graph Construction Method,flatten
Distance Metric,cosine
Connectivity,knn
K Neighbors,3
Percentile,10.0
Clustering Algorithm,louvain
Modularity,0.45765732907197076
Silhouette Score,-0.006014712056225815
Davies Bouldin Index,2.1902769057567815
Num Communities,5
