Item,Value
Graph Construction Method,No_Graph
Distance Metric,N/A
Connectivity,N/A
K Neighbors,N/A
Percentile,N/A
Clustering Algorithm,hierarchical
Model Name,TimeVAE_model59
Modularity,N/A
Silhouette Score,0.2906045615673065
Davies Bouldin Index,0.48285082431081544
Num Communities,N/A
Hierarchical Num Clusters,14
Hierarchical Linkage,average
# of Clusters,14
