,Value
Method,SpectralBiclustering
Model_name,TimeVAE_model9
Distance Metric,cosine
Number of Clusters,8
Coverage,1.0
Entropy Samples,1.88379014999947
Entropy Features,1.7528578204255834
Silhouette Samples,0.011713452948283198
Silhouette Features,0.09170056762426006
Modularity,0.028333333333333332
