Item,Value
Graph Construction Method,flatten
Distance Metric,euclidean
Connectivity,epsilon
K Neighbors,3
Percentile,100
Clustering Algorithm,louvain
Model Name,TimeVAE_model43
Modularity,0.034153280766736877
Silhouette Score,0.0226295106112957
Davies Bouldin Index,1.9759197324414717
Num Communities,2
