Item,Value
Graph Construction Method,flatten
Distance Metric,cosine
Connectivity,knn
K Neighbors,3
Percentile,10.0
Clustering Algorithm,louvain
Model Name,TimeVAE_model20
Modularity,0.42104980324710434
Silhouette Score,-0.0828389823436737
Davies Bouldin Index,2.23882923296755
Num Communities,8
