,Value
Method,SpectralBiclustering
Distance Metric,euclidean
Number of Clusters,3
Coverage,1.736111111111111e-05
Entropy Samples,1.5361173307442981
Entropy Features,1.558469506962397
Silhouette Samples,0.06370695181560276
Silhouette Features,0.24756709920861109
Model Name,TimeVAE_model9
