Item,Value
Graph Construction Method,flatten
Distance Metric,manhattan
Connectivity,epsilon
K Neighbors,3
Percentile,100
Clustering Algorithm,louvain
Model Name,TimeVAE_model9
Modularity,0.038255426400044756
Silhouette Score,0.06109033152461052
Davies Bouldin Index,1.9769555754704902
Num Communities,2
