,Value
Method,SpectralBiclustering
Model_name,TimeVAE_model9
Distance Metric,cosine
Number of Clusters,3
Coverage,1.0
Entropy Samples,0.9281698232389868
Entropy Features,0.664508077134021
Silhouette Samples,0.13523625858716615
Silhouette Features,0.03852800462627783
Modularity,0.11497685185185186
