Item,Value
Graph Construction Method,aggregate
Distance Metric,cosine
Connectivity,knn
K Neighbors,5
Percentile,10.0
Clustering Algorithm,louvain
Modularity,0.5785974102613423
Silhouette Score,0.021217238055942236
Davies Bouldin Index,1.9305486841201123
Num Communities,7
