Item,Value
Graph Construction Method,aggregate
Distance Metric,manhattan
Connectivity,epsilon
K Neighbors,3
Percentile,100
Clustering Algorithm,louvain
Modularity,0.08581049521176565
Silhouette Score,0.23832970705553333
Davies Bouldin Index,1.976741181031141
Num Communities,2
