,Value
Method,SpectralBiclustering
Model_name,TimeVAE_model9
Distance Metric,euclidean
Number of Clusters,5
Coverage,1.0
Entropy Samples,1.4106670737862579
Entropy Features,1.2892887780362545
Silhouette Samples,0.05538001318119415
Silhouette Features,0.09344183889528115
Modularity,0.060625
