,Value
Method,SpectralBiclustering
Model_name,TimeVAE_model9
Distance Metric,manhattan
Number of Clusters,10
Coverage,1.0
Entropy Samples,2.049368981658885
Entropy Features,2.0694277769105334
Silhouette Samples,0.014608934857208376
Silhouette Features,0.16313044669442575
Modularity,0.031828703703703706
