,Value
Method,SpectralBiclustering
Distance Metric,manhattan
Number of Clusters,4
Coverage,0.003703703703703704
Entropy Samples,1.9377912897157523
Entropy Features,1.2730096548354992
Silhouette Samples,0.1360447485048754
Silhouette Features,-0.2959391907711025
Model Name,TimeVAE_model9
