,Value
Method,BiMCL
Distance Metric,cosine
Number of Clusters,10
Coverage,1.0
Entropy,592.1609680175782
Silhouette,-0.02681942665626088
Modularity,0.02525462962962963
model_name,TimeVAE_model9
