,Value
Method,BiMCL
Distance Metric,euclidean
Number of Clusters,10
Coverage,1.0
Entropy,592.0795837402344
Silhouette,-0.03368369179515866
Modularity,0.024722222222222222
model_name,TimeVAE_model9
