Item,Value
Graph Construction Method,flatten
Distance Metric,dtw
Connectivity,knn
K Neighbors,5
Percentile,10.0
Clustering Algorithm,louvain
Model Name,TimeVAE_model23
Modularity,0.6425045332065912
Silhouette Score,-0.034204255789518356
Davies Bouldin Index,1.3746807527150269
Num Communities,8
