,Value
Method,SpectralBiclustering
Model_name,TimeVAE_model9
Distance Metric,cosine
Number of Clusters,7
Coverage,1.0
Entropy Samples,1.7312432360809809
Entropy Features,1.7122237110396565
Silhouette Samples,0.06989674091908253
Silhouette Features,0.10086645255748104
Modularity,0.03048611111111111
