Item,Value
Graph Construction Method,aggregate
Distance Metric,euclidean
Connectivity,knn
K Neighbors,7
Percentile,10.0
Clustering Algorithm,louvain
Modularity,0.5551224098435019
Silhouette Score,0.06952639341046983
Davies Bouldin Index,1.9775285536641694
Num Communities,7
