,Value
Method,SpectralBiclustering
Distance Metric,euclidean
Number of Clusters,6
Coverage,0.008333333333333333
Entropy Samples,2.4102400315610093
Entropy Features,2.3820139422512874
Silhouette Samples,0.08843689562582961
Silhouette Features,0.12213613014083165
Model Name,TimeVAE_model9
