,Value
Method,SpectralBiclustering
Distance Metric,cosine
Number of Clusters,4
Coverage,3.08641975308642e-05
Entropy Samples,1.962989624010397
Entropy Features,1.6971456771523659
Silhouette Samples,-0.0008270014687115763
Silhouette Features,0.3214489352059762
Model Name,TimeVAE_model9
