,Value
Method,BiMCL
Distance Metric,cosine
Number of Clusters,7
Coverage,1.0
Entropy,658.0425502232143
Silhouette,-0.0018254469463297735
Modularity,0.03680555555555556
model_name,TimeVAE_model8
