,Value
Method,SpectralBiclustering
Distance Metric,manhattan
Number of Clusters,3
Coverage,0.0020833333333333333
Entropy Samples,1.5483336809635797
Entropy Features,1.4833557549816874
Silhouette Samples,0.1981243162345468
Silhouette Features,0.5477474471890607
Model Name,TimeVAE_model9
