Item,Value
Graph Construction Method,flatten
Distance Metric,euclidean
Connectivity,epsilon
K Neighbors,3
Percentile,100
Clustering Algorithm,louvain
Modularity,0.02823013823985729
Silhouette Score,0.11126219821953012
Davies Bouldin Index,1.9777530589543937
Num Communities,2
