Item,Value
Graph Construction Method,flatten
Distance Metric,manhattan
Connectivity,knn
K Neighbors,5
Percentile,10.0
Clustering Algorithm,louvain
Modularity,0.4739201260646565
Silhouette Score,0.0305262019835772
Davies Bouldin Index,1.6318834776261633
Num Communities,4
