Item,Value
Graph Construction Method,flatten
Distance Metric,dtw
Connectivity,knn
K Neighbors,3
Percentile,10.0
Clustering Algorithm,louvain
Model Name,TimeVAE_model28
Modularity,0.4768972090413684
Silhouette Score,-0.09587956219911575
Davies Bouldin Index,2.676172473359973
Num Communities,8
