Item,Value
Graph Construction Method,flatten
Distance Metric,euclidean
Connectivity,knn
K Neighbors,5
Percentile,10.0
Clustering Algorithm,louvain
Model Name,TimeVAE_model47
Modularity,0.5562508303990756
Silhouette Score,-0.01023105625063181
Davies Bouldin Index,1.7987424136321197
Num Communities,8
