,Value
Method,SpectralBiclustering
Model_name,TimeVAE_model9
Distance Metric,cosine
Number of Clusters,6
Coverage,1.0
Entropy Samples,1.7050760856665255
Entropy Features,1.526914371928604
Silhouette Samples,0.055217900336073295
Silhouette Features,0.07295671581911543
Modularity,0.03606481481481481
