Item,Value
Graph Construction Method,flatten
Distance Metric,dtw
Connectivity,knn
K Neighbors,5
Percentile,10.0
Clustering Algorithm,louvain
Model Name,TimeVAE_model30
Modularity,0.3863965108968076
Silhouette Score,-0.06484736502170563
Davies Bouldin Index,1.9344187382310785
Num Communities,7
