,Value
Method,SpectralBiclustering
Distance Metric,manhattan
Number of Clusters,10
Coverage,0.00019290123456790122
Entropy Samples,2.9997736668701385
Entropy Features,3.1777268402044667
Silhouette Samples,-0.012921754624341331
Silhouette Features,0.05812923698104932
Model Name,TimeVAE_model9
