,Value
Method,SpectralBiclustering
Distance Metric,euclidean
Number of Clusters,7
Coverage,9.45216049382716e-05
Entropy Samples,2.674866181183188
Entropy Features,2.6523754583685752
Silhouette Samples,0.005850369762484157
Silhouette Features,0.060727369866328575
Model Name,TimeVAE_model9
