,Value
Method,Bipartite Spectral Graph Partitioning
Model Name,TimeVAE_model9
Number of Clusters,3
Coverage,0.33241319444444445
Entropy Samples,1.0933640477753483
Entropy Features,1.0980670237477408
Silhouette Samples,-0.027718228312018617
Silhouette Features,-0.0013451998842553786
Modularity,-0.008855309795553643
