Item,Value
Graph Construction Method,flatten
Distance Metric,cosine
Connectivity,epsilon
K Neighbors,3
Percentile,100
Clustering Algorithm,louvain
Model Name,TimeVAE_model24
Modularity,0.1661239267271205
Silhouette Score,-0.07547074556350708
Davies Bouldin Index,1.9537746806039487
Num Communities,3
