Item,Value
Graph Construction Method,aggregate
Distance Metric,manhattan
Connectivity,knn
K Neighbors,5
Percentile,10.0
Clustering Algorithm,louvain
Modularity,0.5996753566189955
Silhouette Score,0.06484736047087457
Davies Bouldin Index,2.2818761943761943
Num Communities,6
