Item,Value
Graph Construction Method,aggregate
Distance Metric,manhattan
Connectivity,knn
K Neighbors,3
Percentile,10.0
Clustering Algorithm,louvain
Modularity,0.6905391768865771
Silhouette Score,0.029572273230547234
Davies Bouldin Index,1.5791894777655537
Num Communities,9
